ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
GOOG
META
AVGO
ORCL
CRM
ADBE
CSCO
QCOM
AMD
TXN
INTC
MU
ANET
NOW
PANW
CRWD
SNOW
MDB
DDOG
NET
SHOP
UBER
ABNB
BKNG
NFLX
SPOT
ROKU
TTD
PINS
SNAP
DOCU
PLTR
FTNT
WDAY
TEAM
INTU
ADSK
CDNS
SNPS
LRCX
KLAC
MCHP
NXPI
MRVL
ON
SMCI
DELL
HPQ
NTAP
HPE
IBM
EA
RBLX
U
TTWO
APP
FSLY
ESTC
AI
PATH
CFLT
GTLB
S
IOT
BILL
AFRM
SOFI
SQ
PYPL
COIN
HOOD
ARM
ZM
OKTA
ZS
HUBS
AKAM
DOCN
TWLO
RAMP
PCOR
ASAN
ZI
SPLK
CRUS
TER
ENPH
SEDG
